CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
RAM 700 Express 2020,RAM,2020,136,1600,39900000
Chevrolet Cheyenne 1500 Automatica 1996,Chevrolet,1996,323500,5700,19950000
Toyota SUMO Tx L Automatico 2010,Toyota,2010,90000,2700,96000000
Chevrolet Captiva Sport 2.4 2013,Chevrolet,2013,111174,2400,35500000
Chevrolet Cobalt 1.8 Ltz 2015,Chevrolet,2015,46517,1800,29900000
Renault Duster 2.0 Intens 4x2 2020,Renault,2020,100,2000,67990000
FORD Mustang Gt 350 1965,FORD,1965,46000,0,150000000
Nissan Versa Sense 2014,Nissan,2014,60000,1600,32500000
Peugeot 3008 Allure 2.0 Aut Hdi 2019,Peugeot,2019,19231,2000,105900000
Porsche Cayenne GTS 2016,Porsche,2016,41910,3600,390000000
Nissan Pathfinder Exclusive 2015,Nissan,2015,70102,3500,84000000
Volkswagen FOX Xtreme 2020,Volkswagen,2020,21500,1600,44990000
Suzuki XL7  2021,Suzuki,2021,5463,1500,82990000
FORD Bronco 2.0 Wildtrak 4x4 2021,FORD,2021,0,1500,159990000
FORD Explorer Xlt 2.3 Turbo 2021,FORD,2021,0,2300,174990000
FORD Explorer St 3.0 2021,FORD,2021,0,3000,229990000
FORD Ranger Limited Aut 2021,FORD,2021,0,3198,158990000
FORD Escape Titanium Ecobost 4x4 2021,FORD,2021,0,,129990000
Renault Sandero LIFE 2022,Renault,2022,0,1598,45400000
FORD Ranger Limited 2022,FORD,2022,0,3198,164990000
FORD Ranger Limited 2022,FORD,2022,0,3198,164990000
Renault Koleos Intens 4x4 2022,Renault,2022,0,2488,133950000
FORD Escape Titanium Ecobost 4x4 2021,FORD,2021,0,,129990000
Renault Sandero ZEN 2022,Renault,2022,0,,53210000
Chevrolet Traverse Premier 2018,Chevrolet,2018,24500,3600,110000000
Renault Koleos Intens 4x4 2021,Renault,2021,0,2488,131790000
FORD Bronco 1.5 Big Bend 4x4 2021,FORD,2021,0,1500,129990000
FORD Bronco 2.0 Wildtrak 4x4 2021,FORD,2021,0,1500,159990000
FORD Escape Se 4x2 Ecoboost  2021,FORD,2021,0,,109990000
