CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
Suzuki Swift Dzire Gl 2015,Suzuki,2015,68210,1200,32600000
Chevrolet Spark 1.0 Lc A.A 2016,Chevrolet,2016,85950,1000,21000000
KIA RIO 1.4 Mecanico 2013,KIA,2013,84077,1400,34500000
Renault Stepway Dynamique 2012,Renault,2012,75150,1600,28900000
Volkswagen Jetta 2.0 Comfort Mecanico 2007,Volkswagen,2007,125000,2000,21500000
Peugeot 308 1.6 Confort 5 Puertas Mecanico 2010,Peugeot,2010,127000,1600,27900000
FORD Ranger Xls Gasolina 2021,FORD,2021,0,2500,101990000
SEAT Ateca Style Sport 2021,SEAT,2021,2103,1400,99900000
SEAT Ateca Style Sport 2021,SEAT,2021,2872,1400,99900000
Nissan X-Trail Exclusive 2018,Nissan,2018,61312,2500,96900000
Nissan Np 300 2.4 4x2 Dh Dob 2015,Nissan,2015,140000,0,44900000
AUDI A3  2017,AUDI,2017,23410,1200,69900000
Renault Twizy Technic 2019,Renault,2019,7700,0,38500000
BMW X1 Sdrive 20i 2017,BMW,2017,28700,2000,93500000
Chevrolet Tahoe 5.3 2011,Chevrolet,2011,110000,5300,100000000
Chery YOYA 1.5 Pasajeros 2015,Chery,2015,105000,1497,24000000
Chevrolet N300 1.2 Move Pasajeros 2013,Chevrolet,2013,185000,1206,25000000
Chevrolet Tracker Fwd Ls 2016,Chevrolet,2016,31000,1800,48000000
SSANGYONG Actyon 2.0 Diesel Mecanica Full Equipo 2013,SSANGYONG,2013,56967,20,30000000
CHEVROLET Optra 1.8 Automatico 4 Puertas 2005,CHEVROLET,2005,136000,1800,14000000
KIA Sportage 2nd Generation Gt Line 4x2 2022,KIA,2022,0,2000,131590000
KIA RIO All New Sc Hb Aut 2022,KIA,2022,0,1368,65690000
AUDI Q3 1.4 Tfsi S-Tronic Progressive 2018,AUDI,2018,20809,0,108000000
Renault Duster Dynamique 4x4 Bvm 2019,Renault,2019,19340,2000,59000000
Mazda 6  2020,Mazda,2020,4998,2500,109900000
FORD Mustang Gt Premium Fastback 2021,FORD,2021,0,5000,189990000
Mazda 3  2012,Mazda,2012,56000,0,34800000
Nissan New Pathfinder 3.5 Exclusive Cvt 2020,Nissan,2020,13000,3500,140000000
Suzuki Swift Dzire Gl 2020,Suzuki,2020,18416,1200,43800000
Volkswagen Jetta Tsi 1.4 Comfortline Aut 2020,Volkswagen,2020,16126,1600,70800000
Great Wall H3 2.0 4x4 2020,Great Wall,2020,20500,1997,60000000
KIA Carens Rondo 2.0 Gls Automatica 2009,KIA,2009,91000,2000,27500000
Toyota Hilux 2.4 4x2 Cabina Sencilla Platon 1997,Toyota,1997,146000,2400,18000000
Mercedes Benz Clase GLC 220 Diésel 2018,Mercedes Benz,2018,2755,3000,155000000
CHEVROLET N300 1.2 Max Cargo Plus 2014,CHEVROLET,2014,6800,1206,27500000
Ford Explorer 3.5 LIMITED 2014,Ford,2014,27000,3500,90000000
Renault Megane 1.6 Unique Mecanico 2008,Renault,2008,98624,1600,15900000
Chevrolet Tracker Mcm Ls Aut 2018,Chevrolet,2018,68000,1800,59890000
Nissan X-Trail Exclusive 2016,Nissan,2016,48000,2488,76900000
Renault Duster Dynamique 2.0 4x2 Automatica 2013,Renault,2013,105000,2000,36890000
FIAT UNO Attractive 1.4 5 Puertas 2015,FIAT,2015,41000,1400,29990000
BMW X2 Sdrive 20i M Sport 2021,BMW,2021,800,1998,150000000
Renault Duster 2.0 Intens 4x4 2019,Renault,2019,19126,2000,59000000
Hyundai ATOS Prime Servicio Urbano 2011,Hyundai,2011,735106,1000,68000000
Hyundai GETZ Gl 5 Puertas 1.4 16v Mecanico Full Equipo 2011,Hyundai,2011,119690,1400,19300000
Citroen C-Elysee 1.6 Shine Aut 2018,Citroen,2018,53300,1600,44900000
FORD Ranger Limited Aut 2022,FORD,2022,0,3198,163990000
Renault Kangoo C.A 2019,Renault,2019,17600,1600,51900000
RAM 700 Express 2020,RAM,2020,136,1600,39900000
Volkswagen Jetta 2.0 Trendline 2008,Volkswagen,2008,116000,2000,23800000
Honda Pilot Prestige 2017,Honda,2017,33915,3500,104000000
Honda CR-V 2.4 Ex Automatica 2011,Honda,2011,49000,2400,47000000
Land Rover Discovery 4 Hse 3.0 Sv6 2013,Land Rover,2013,90384,3000,145000000
FORD Escape Titanium 4x4 2017,FORD,2017,64000,2000,74000000
FORD Bronco 2.0 Wildtrak 4x4 2021,FORD,2021,0,1500,159990000
FORD Explorer Limited 3.5 Automatica Awd 2019,FORD,2019,31173,2300,149800000
Nissan March Connect 2020,Nissan,2020,8600,1600,43800000
FORD EDGE Limited 2013,FORD,2013,71500,3500,53000000
Suzuki Swift 1.4 Gl Automatico Aire Acondicionado 2013,Suzuki,2013,77300,1400,29200000
Chevrolet Captiva 3.0 Full Equipo 2011,Chevrolet,2011,123000,3000,38000000
CHEVROLET Spark  2012,CHEVROLET,2012,515000,1000,75000000
Hyundai Grand i10 Illusion 1.0 Classic A.A 2015,Hyundai,2015,99948,1000,25000000
Renault Duster Oroch ZEN 2022,Renault,2022,0,1998,68990000
Renault Stepway Intens 2021,Renault,2021,0,1598,61910000
KIA Cerato Pro Nb 1.6 F.E. Aut Summa 2016,KIA,2016,56450,0,47500000
KIA Stonic Vibrant 2022,KIA,2022,0,998,83990000
Volkswagen Beetle Sport 2.5 Aut 2016,Volkswagen,2016,60000,2480,55000000
Renault Duster Dynamique 4x4 Bvm Servicio Publico 2017,Renault,2017,69000,1998,46000000
Chevrolet Tracker Mcm Awd Ltz 2019,Chevrolet,2019,33694,1800,68900000
Volkswagen Jetta 2.0 Europa 2014,Volkswagen,2014,66000,2000,34990000
Renault Megane Ii 2.0 Hatchback Mecanico Techo 2007,Renault,2007,142856,2000,19900000
Citroen C5  2002,Citroen,2002,190631,2000,14300000
KIA Cerato  2015,KIA,2015,62866,1600,44900000
Renault Stepway Intens Polar 2020,Renault,2020,6500,1600,53500000
KIA RIO 1.4 Emotion Hb 2019,KIA,2019,29000,1400,51500000
Volkswagen GOL 1.6 Confortline Hatchback Mecanico 2018,Volkswagen,2018,64000,1600,35900000
Mazda 5  2003,Mazda,2003,368000,2200,33000000
KIA Picanto Emotion 2022,KIA,2022,0,998,38090000
KIA Picanto Emotion 2019,KIA,2019,51450,1000,30500000
FORD Ranger 2.2 Xl 4x4 Chasis Diesel 2022,FORD,2022,0,2200,112990000
Mercedes Benz Clase E 200 2014,Mercedes Benz,2014,26198,0,89000000
Renault Logan Intens Aut 2018,Renault,2018,39400,1600,34500000
Chevrolet Spark  2015,Chevrolet,2015,92300,1200,25000000
Daihatsu Sirion 1.5 Mecanico 2008,Daihatsu,2008,115200,1300,18500000
Mercedes Benz Clase A 200 Aut 2016,Mercedes Benz,2016,47000,1600,75900000
Volvo V40 T4 1.6 Turbo Automatico 2013,Volvo,2013,55000,1600,48700000
Renault Twizy Technic 2016,Renault,2016,40000,0,24500000
Renault Duster Dynamique 4x4 Bvm Servicio Publico 2013,Renault,2013,200000,2000,32000000
Dodge Journey 2.4 Automatica 2018,Dodge,2018,26800,2400,78500000
Renault CLIO 1.6 Rs Dynamique 2006,Renault,2006,132000,1600,15500000
Volkswagen Golf 1.8 Cabriolet 1981,Volkswagen,1981,176650,1800,32000000
Porsche Macan S 2015,Porsche,2015,19000,3000,230000000
AUDI A6 2.8 Fsi Multitronic 2012,AUDI,2012,84200,2773,68500000
KIA Carens Rondo 2.0 Gls Automatica 2007,KIA,2007,179000,2000,24500000
Renault Stepway Intens Mt 2022,Renault,2022,0,1598,62540000
KIA Picanto 1.25 X-Line Aut 2022,KIA,2022,0,1250,56390000
DFSK VAN  2018,DFSK,2018,26344,1000,38900000
BMW Serie 3 320i Luxury Line Plus 2017,BMW,2017,26500,1998,89000000
Toyota Land Cruiser Sahara 4.5 Diesel V8 2009,Toyota,2009,118000,4500,159000000
Renault Logan 1.4 Familier 2016,Renault,2016,40010,1400,24500000
Nissan Patrol King 5.6 Automatico 2017,Nissan,2017,9000,5600,310000000
Chevrolet Cruze 1.4l T Hb Ltz Aut 2017,Chevrolet,2017,39000,1400,51000000
Mercedes Benz Clase E 200 2015,Mercedes Benz,2015,39200,2000,81000000
Chevrolet ONIX LTZ 2017,Chevrolet,2017,16200,1400,35500000
BMW Serie 4  2019,BMW,2019,9123,0,125900000
Chevrolet AVEO Family 1.5 Mecanico Aire Acondicionado 2014,Chevrolet,2014,99000,1500,22790000
Chevrolet Spark Gt Ltz F.E 2017,Chevrolet,2017,114000,1200,26890000
Chevrolet SAIL 1.4 Lt Sedan Mecanico Aire Acondicionado 2018,Chevrolet,2018,38000,1400,28990000
Peugeot Partner  2019,Peugeot,2019,22973,1600,44900000
FORD Focus 2.0 Sedan Automatico 2013,FORD,2013,62000,2000,37500000
Mazda 3 2.0 Sedan Touring Automatico 2017,Mazda,2017,44000,2000,57900000
KIA Rio  2013,KIA,2013,8000,1400,34000000
Nissan New Pathfinder 3.5 Advance Cvt 2016,Nissan,2016,32012,3500,84300000
Nissan D21  2006,Nissan,2006,260000,2400,28000000
Hyundai Atos  2010,Hyundai,2010,90000,1000,85000000
Volkswagen Jetta  2018,Volkswagen,2018,31500,2500,71000000
Renault Logan 1.6 Expression 2016,Renault,2016,21810,1600,28600000
Great Wall Wingle 5 2.0 Doble Cabina 4x4 Diesel  2016,Great Wall,2016,65342,2000,58900000
BMW X6 Xdrive 35i 2018,BMW,2018,15000,4395,200000000
FORD Bronco 1.5 Big Bend 4x4 2021,FORD,2021,0,1500,129990000
Nissan Frontier Np300  2020,Nissan,2020,23300,2500,108900000
Renault Kangoo C.A 2019,Renault,2019,32100,1600,51900000
Subaru Outback  2011,Subaru,2011,108000,0,51900000
Mazda 3  2016,Mazda,2016,52965,0,54900000
Chevrolet SAIL LTZ 2019,Chevrolet,2019,18500,1399,34000000
Honda Civic 1.6 Lx Aut 2006,Honda,2006,152700,1800,25000000
FORD Explorer 3.5 Limited 2017,FORD,2017,40000,3497,130000000
Toyota Prado 5 Puertas Tx-L Automatica Diesel 2013,Toyota,2013,160000,2000,123000000
Mazda CX-5 2.0 4x2 Touring Aut 2018,Mazda,2018,35700,2000,78900000
Nissan Versa 1.6 Full Equipo Automatico 2021,Nissan,2021,14000,1600,65000000
Volkswagen T-Cross Trendline Aut 2020,Volkswagen,2020,1150,1600,60000000
Chevrolet Spark 1.2 Gt Rs Aire Acondicionado 2020,Chevrolet,2020,100,1206,36000000
Jinbei Microbus 19 Pasajeros 2014,Jinbei,2014,135821,2498,60000000
JEEP Grand Cherokee 4.7 Laredo Ven 2005,JEEP,2005,208000,4700,29000000
Chevrolet Corsa 1.4 Coupe Aire Acondicionado 2006,Chevrolet,2006,136000,1400,12000000
BMW X3 3.0i Aut 2010,BMW,2010,69500,2995,54800000
Renault Duster 1.6 Smart Servicio Publico 2020,Renault,2020,100,1600,45400000
JAC S2 1.5 2017,JAC,2017,28500,1499,36900000
BMW M3 Mecanico 1993,BMW,1993,238000,2494,25000000
KIA Cerato Koup Race 2.0 2015,KIA,2015,46000,2000,44000000
CITROEN C4 Picasso 2.0 Automatica 2011,CITROEN,2011,35000,2000,33000000
Toyota Rav 4 2.5 4x2 Aut 2014,Toyota,2014,65000,2700,77000000
Renault KWID Outsider 2022,Renault,2022,0,990,42610000
KIA RIO All New Sc Aut 2022,KIA,2022,0,1368,65690000
KIA Cerato Vibrant Aut 2022,KIA,2022,0,1591,78150000
KIA Stonic Zenith 2022,KIA,2022,0,998,93990000
KIA Picanto Emotion Aa 2022,KIA,2022,0,998,40490000
KIA RIO 1.4 Vibrant Sedan 2022,KIA,2022,0,1368,62090000
Volkswagen Voyage Comfortline 2018,Volkswagen,2018,46000,1600,38900000
FORD Fiesta 1.6 Titanium Sporback Mecanico 2018,FORD,2018,20000,2000,51500000
Renault Duster  2020,Renault,2020,17000,1600,60900000
Mercedes Benz Clase Glk  2015,Mercedes Benz,2015,48000,3500,95900000
FORD F150  2016,FORD,2016,24639,3500,118900000
Renault Fluence Privilege 2.0 Automatico 2012,Renault,2012,72000,2000,30900000
Renault Stepway Intens 2019,Renault,2019,5000,1600,50000000
Hyundai EON Style 2016,Hyundai,2016,33000,814,22000000
FORD Fiesta Hb Titanium Mecanico 2018,FORD,2018,20000,1600,50500000
Mitsubishi Montero  2021,Mitsubishi,2021,100,0,219900000
Nissan Kicks Exclusive Aut 2019,Nissan,2019,5500,1598,71500000
FORD EDGE Limited 2009,FORD,2009,73186,3500,42000000
Hyundai H1 Diesel 2.5 Tci 12 Pasajeros A.A 2011,Hyundai,2011,276000,2500,43000000
Renault Kangoo C.A 2014,Renault,2014,65662,1600,28600000
Renault Logan LIFE 2019,Renault,2019,20000,1600,41000000
Citroen C-Elysee  2020,Citroen,2020,6000,1600,112000000
Chevrolet Chevy  2006,Chevrolet,2006,67000,1600,11700000
Nissan Pathfinder  2004,Nissan,2004,164000,3500,22900000
Mazda 3 2.0 Grand Touring LX 2018,Mazda,2018,15100,2000,66000000
JEEP Grand Cherokee  2012,JEEP,2012,62000,0,84000000
Mitsubishi Outlander 2.4 4x4 Automatica 2018,Mitsubishi,2018,10000,2400,97500000
Renault Captur Intens Aut 2022,Renault,2022,0,1198,85250000
Renault Duster 1.3t Intens Outsider 4x4 2022,Renault,2022,0,1300,82900000
KIA Picanto Zenith 2022,KIA,2022,0,1248,45990000
FORD Ranger Xls Gasolina 2021,FORD,2021,0,2500,101990000
FORD EDGE  2013,FORD,2013,94000,3500,49000000
Renault Megane  2001,Renault,2001,180464,1400,12500000
BMW X4 Xdrive 30i M Edition 2021,BMW,2021,1500,2993,400000000
AUDI A4 1.8 Automatico 2007,AUDI,2007,81000,1800,32000000
Mazda 3 2.0 Sedan Touring Automatico 2020,Mazda,2020,6500,1998,71500000
Renault Sandero Life Plus 2019,Renault,2019,21700,1600,37000000
KIA Rio Stylus 1.5  Mecanico 2009,KIA,2009,137000,1500,19900000
Suzuki Vitara Live Gl 1.6 4x2 2020,Suzuki,2020,8700,1600,63500000
AUDI A6 1.8 Turbo Tiptronic 2017,AUDI,2017,30000,18,97000000
Chery Van Cargo2 1.5 2015,Chery,2015,24490,1500,29999990
Renault Nueva Master 18 Pasajeros 2017,Renault,2017,81000,2333,135000000
Volkswagen Tiguan 2.0 Sport & Style Tsi Automatico 2009,Volkswagen,2009,129000,2000,34000000
Chevrolet Vivant Lt 2.0 Automatico 2008,Chevrolet,2008,120000,2000,15000000
Suzuki Grand Vitara Sz 2.4 4x4 5 Puertas Automatica 2016,Suzuki,2016,76700,2700,54500000
KIA Sportage Revolution 2.0 4x2 A.A 2014,KIA,2014,67900,2000,55000000
Mercedes Benz Clase C 200 Cabrio 2019,Mercedes Benz,2019,18000,2000,134500000
AUDI Q5 2.0 T Luxury Tiptronic 2012,AUDI,2012,48000,2000,67000000
Mercedes Benz Clase Gle 250d 4matic 2017,Mercedes Benz,2017,67500,2200,136000000
BMW Serie 5 530I 2018,BMW,2018,20000,2000,135000000
Nissan 370Z Coupe 2012,Nissan,2012,19000,3900,100000000
Hyundai H1 Diesel 12 Pasajeros 2016,Hyundai,2016,42000,2500,80900000
Renault Duster Dynamique 2.0 4x2 Mecanica 2015,Renault,2015,96400,4,38000000
Honda CR-V 1.4 Exl Automatica 2004,Honda,2004,188000,0,23000000
Mercedes Benz Clase A 200 2017,Mercedes Benz,2017,11500,1600,82000000
Great Wall Wingle Sport 4x2 Diesel 2011,Great Wall,2011,202000,2800,27000000
BMW X3 Xdrive 28i 2011,BMW,2011,69000,2996,70000000
Toyota Fortuner 2.7 4X4 Automatico 2011,Toyota,2011,77000,2700,61000000
Hyundai Elantra  2017,Hyundai,2017,83000,1600,47900000
Chevrolet Cruze 1.8 4 Puertas Automatico Platinum 2011,Chevrolet,2011,122800,1800,28000000
KIA Sportage Revolution 2.0 4x2 A.A. Aut 2012,KIA,2012,61104,1998,50000000
Ford Fiesta Sedan SE Powershift Mecanico 2013,Ford,2013,84452,0,27500000
Renault Sandero LIFE 2022,Renault,2022,0,1598,45120000
KIA Cerato Vibrant 2022,KIA,2022,0,1591,73450000
Nissan Versa Advance 2013,Nissan,2013,120625,1598,27500000
Nissan March Connect 2019,Nissan,2019,8500,1600,39000000
Nissan Urvan 2.5 14 Pasajeros 2008,Nissan,2008,314737,2500,32990000
Toyota Burbuja  1995,Toyota,1995,142000,4500,50000000
Chevrolet Spark  2012,Chevrolet,2012,76000,1200,26500000
Chevrolet Sonic 1.6 Lt Sedan Mecanico 2015,Chevrolet,2015,42000,1600,30000000
FORD Escape  2015,FORD,2015,56000,2000,58900000
Suzuki APV  2013,Suzuki,2013,110000,1600,35000000
AUDI Q3 1.4 Tfsi S-Tronic Ambition 2017,AUDI,2017,75000,1400,73000000
AUDI A3 1.6 Mecanico 2 Puertas Alemania  2008,AUDI,2008,120000,1600,31500000
Chevrolet NHR  2018,Chevrolet,2018,23000,3000,85000000
Saic Wuling Van Panel  2007,Saic Wuling,2007,118000,1000,9900000
Chevrolet Colorado Hc 4x4 2.8 Dsl Aut 2018,Chevrolet,2018,43155,2800,118100000
Chevrolet NPR Turbo Camion 2020,Chevrolet,2020,27027,5000,132900000
Renault Kangoo  2019,Renault,2019,36690,1600,49000000
HINO Dutro  2019,HINO,2019,40362,4009,90000000
Foton VAN  2018,Foton,2018,43638,0,37500000
FORD EDGE  2013,FORD,2013,58800,3500,52500000
Toyota Fortuner 2.7 4x4 Automatico 2010,Toyota,2010,101400,2700,98000000
KIA Picanto 1.25 Gt Line 2022,KIA,2022,0,1248,52590000
KIA Picanto Vibrant 2022,KIA,2022,0,1248,43990000
KIA Picanto Vibrant Aut 2022,KIA,2022,0,1248,47790000
KIA Picanto Zenith Aut 2022,KIA,2022,0,1248,49790000
Chevrolet DMAX 2.5 4x4 Doble Cabina 2015,Chevrolet,2015,75300,2500,77900000
Renault Stepway Intens Polar 2020,Renault,2020,5465,1598,48000000
Chevrolet AVEO 1.6 5 Puertas Mecanico Aire Acondicionado 2012,Chevrolet,2012,99335,1600,21000000
Chevrolet Captiva 2.4 Ls Sport Automatico 2015,Chevrolet,2015,130000,0,40000000
Chery YOYA 1.5 Pasajeros 2015,Chery,2015,139000,1497,23000000
Mercedes Benz Clase Cla 180 2017,Mercedes Benz,2017,40000,4000,85000000
Ssangyong Actyon 2.0 Diesel Automatica Full Equipo 2009,Ssangyong,2009,334974,1998,30000000
Mercedes Benz Clase B B180 Mecanico 2011,Mercedes Benz,2011,96500,1700,32000000
Mercedes Benz Clase C 250 Cgi 2011,Mercedes Benz,2011,56000,1800,55000000
BMW X5 Xdrive 35i 2013,BMW,2013,40000,3000,88000000
Toyota Fortuner Urbana 4x2 Mecanica 2012,Toyota,2012,142000,2700,67000000
Hyundai Tucson Limited 4x4 Aut 2019,Hyundai,2019,2000,2000,105000000
JAC B-Cross 2.0 Mecanica 7 Pasajeros 2014,JAC,2014,89000,2000,30000000
Toyota Prado 5 Puertas Tx-L Automatica Diesel 2012,Toyota,2012,250246,2982,130000000
Nissan X-Trail 2.2 X-Ldt Diesel Mecanica Full Equipo Cuero 2014,Nissan,2014,111714,22,47000000
Renault Captur Intens 2017,Renault,2017,49000,1998,55000000
Mitsubishi Outlander 3.0 4x4 Automatica 2009,Mitsubishi,2009,97790,3000,39500000
FORD Explorer Xlt 4.0 V6 4x4 Automatica 1997,FORD,1997,240000,4000,7500000
FORD EDGE Limited 2013,FORD,2013,67000,3497,56000000
Volvo Xc 60 3.0 T6 G-Tronic 2012,Volvo,2012,46474,3000,75000000
Mercedes Benz Clase C 180 Avantgarde Aut 2019,Mercedes Benz,2019,8096,1600,107900000
Chevrolet HHR 2.4 Mecanica 2010,Chevrolet,2010,40000,2400,26500000
Nissan X-Trail 2.5 Xmt 4x4 Full Equipo 2005,Nissan,2005,149000,2500,25000000
Chevrolet Tracker Fwd Ls Aut 2015,Chevrolet,2015,5100,1800,43000000
Honda CR-V 2.4 Exl Automatica 2012,Honda,2012,153000,2354,65000000
Dodge Journey 2.4 Automatica 2015,Dodge,2015,52000,4,59900000
CHEVROLET Tracker 2.4 LT Aut 2018,CHEVROLET,2018,11500,18,65000000
CHEVROLET Spark GT 1.2 A.A 2015,CHEVROLET,2015,30500,1200,25000000
Ford Escape 3.0 XLT 4x4 Automatica 2012,Ford,2012,52300,3000,42000000
CHEVROLET Tracker FWD LS Aut 2015,CHEVROLET,2015,51000,1800,43000000
CHEVROLET Tracker FWD LS Aut 2015,CHEVROLET,2015,51000,1800,43000000
Ford Escape 3.0 XLT 4x4 Automatica 2007,Ford,2007,115000,3000,24500000
Mercedes Benz Clase A 200 2015,Mercedes Benz,2015,13100,1600,72000000
RENAULT Duster Dynamique 2.0 4x2 Mecanica 2015,RENAULT,2015,145000,2000,40000000
CHEVROLET Captiva 2.4 LS SPORT Automatico 2014,CHEVROLET,2014,58500,2400,40500000
Dodge Journey 2.4 Automatica 2014,Dodge,2014,40000,2400,48000000
NISSAN X-trail Classic S F.E. Aut 2011,NISSAN,2011,85000,2500,38900000
KIA Picanto  2012,KIA,2012,93664,1000,23500000
Nissan X-Trail X-Ltd Automatica Full Equipo 2011,Nissan,2011,157000,2488,45000000
Chevrolet Tracker  2015,Chevrolet,2015,51620,1800,43100000
FORD Escape Titanium 4x4 2017,FORD,2017,9950,2000,82500000
KIA Rio 1.4 Mecanico 2014,KIA,2014,94000,1400,32000000
Mazda CX-5  2017,Mazda,2017,50437,2000,77700000
Skoda Fabia Combi Classic 1.6 Mecanico 2010,Skoda,2010,135112,1600,18900000
Volvo Xc 40 T4 R-Design 2020,Volvo,2020,18000,2000,151000000
KIA Rio 1.4 Mecanico 2014,KIA,2014,94000,1400,32000000
Mazda CX-5  2017,Mazda,2017,50437,2000,77700000
Skoda Fabia Combi Classic 1.6 Mecanico 2010,Skoda,2010,135112,1600,18900000
Volvo Xc 40 T4 R-Design 2020,Volvo,2020,18000,2000,151000000
Mercedes Benz Clase A 200 Aut 2015,Mercedes Benz,2015,79000,1600,61000000
KIA Cerato 1.6 Nb Mecanico 2012,KIA,2012,61000,0,28000000
Renault Logan LIFE 2022,Renault,2022,0,1598,45000000
Renault Logan Life Plus 2022,Renault,2022,0,1598,48820000
Renault Stepway ZEN 2022,Renault,2022,0,1598,58040000
KIA Picanto 1.25 X-Line 2022,KIA,2022,0,1248,51590000
Nissan Sentra  2016,Nissan,2016,51000,1600,21500000
Mercedes Benz Clase C C200 Kompressor Automatico 2008,Mercedes Benz,2008,64329,1800,41900000
Chevrolet Tracker Mcm Ls 2015,Chevrolet,2015,98500,1800,38000000
Renault Logan  2011,Renault,2011,100000,1600,18000000
Mercedes Benz Clase Glc  2018,Mercedes Benz,2018,6800,2000,142000000
Yamaha XTZ 250 2015,Yamaha,2015,33100,250,11000000
Chevrolet Cruze  2016,Chevrolet,2016,13370,1800,44000000
Toyota Sumo  2008,Toyota,2008,140000,2700,48000000
Chevrolet Tracker  2015,Chevrolet,2015,52200,1800,43000000
BMW R 1200  2014,BMW,2014,34600,1200,55000000
Chery Vanpass 1.3 D.H. A.A 2014,Chery,2014,99818,1300,21000000
Nissan New Pathfinder 3.5 Exclusive Cvt 2015,Nissan,2015,60000,3500,73900000
JAC GRUA 1063 5 Toneladas 2019,JAC,2019,100,2771,100000000
Peugeot 308 2.0 Premium Full Equipo 2010,Peugeot,2010,69411,1997,26900000
Chevrolet Captiva 2.4 Ls Sport Automatico 2010,Chevrolet,2010,37000,2400,37000000
RENAULT Logan Night and Day 2018,RENAULT,2018,44000,1600,29900000
Honda CR-V 2.4 Lx Automatico 2017,Honda,2017,53000,2400,78500000
Nissan X-Trail Classic S Diesel F.E 2014,Nissan,2014,111360,2200,51000000
Nissan Sentra 2.0 E Automatico 2013,Nissan,2013,40000,2000,27000000
FORD Explorer 3.5 Limited 2013,FORD,2013,93000,3500,68000000
Nissan Pathfinder 3.5 Superlux Aut 2004,Nissan,2004,176000,3500,33000000
BMW Serie 5 525i Automatico 2008,BMW,2008,120000,2480,51500000
Nissan Versa 1.6 Full Equipo Automatico 2013,Nissan,2013,131000,1600,24000000
CHEVROLET Tracker LS Mecanica 2015,CHEVROLET,2015,172000,1800,42000000
Renault Koleos Sportway Edicion Limitada 2015,Renault,2015,32000,0,57990000
CHEVROLET Tracker FWD LS 2015,CHEVROLET,2015,80000,0,40000000
Mitsubishi Lancer 1.5 Glx Station Wagon Mecanico 1997,Mitsubishi,1997,270000,1500,8000000
Ford Escape 2.0 4X4 2014,Ford,2014,62300,2000,62500000
Hyundai Tucson IX35 4x4 2.0 Diesel Mecanica Full Equipo 2013,Hyundai,2013,110000,2000,46000000
Peugeot 2008 1.6 Allure Aut 2015,Peugeot,2015,32000,1600,50000000
Volkswagen BORA  2006,Volkswagen,2006,95000,2500,20500000
Great Wall M4 1.5 4x2 2016,Great Wall,2016,45000,1500,29000000
Toyota Prado  2016,Toyota,2016,56000,0,180000000
Chevrolet Tracker  2017,Chevrolet,2017,17000,0,54000000
Citroen Jumper 2.2 Hdi Turbo Diesel 19 Psajeros Full Equipo 2012,Citroen,2012,300000,2198,65000000
Chevrolet Spark  2015,Chevrolet,2015,55000,1400,25500000
CHEVROLET Captiva 2.4 LS SPORT Automatico 2009,CHEVROLET,2009,340900,2000,67899999
SSANGYONG Korando C 2.0 4X2 2012,SSANGYONG,2012,145000,2000,29500000
FORD Ecosport 2.0 4x2 Aut Titanium 2017,FORD,2017,52320,2000,56600000
Renault Logan Expression 2016,Renault,2016,52870,1600,28600000
Volkswagen Voyage Comfortline 2019,Volkswagen,2019,28420,1600,40500000
BMW X5 xDrive 35i Premium 2011,BMW,2011,50500,3500,97000000
Daihatsu Sirion 1.3 Ex 3p Aire Acondicionado 2008,Daihatsu,2008,65000,1300,16000000
BMW Serie 5 525i Automatico 2008,BMW,2008,94600,2500,34950000
BMW X5 Xdrive 30d 2013,BMW,2013,93000,2993,98000000
KIA Cerato Koup 1.6 Nb Mecanico Aire Acondicionado 2013,KIA,2013,79000,1600,33200000
BMW X3 Xdrive 20i 2015,BMW,2015,30000,2000,98000000
HINO FC9J Camion 2015,HINO,2015,295000,5123,170000000
AUDI A3 1.8 Automatico 2009,AUDI,2009,68000,1800,39900000
BMW Serie 1 120D 2013,BMW,2013,63000,2000,53000000
Citroen C3 1.4 2011,Citroen,2011,55000,1400,22500000
Renault Sandero Expression Abs 2012,Renault,2012,110000,1600,21000000
Mercedes Benz 413  2010,Mercedes Benz,2010,435388,0,77000000
BMW Serie 1 120i Sport Mecanico Hatchback 3p 2012,BMW,2012,66400,2,46000000
Renault Stepway Discovery 1.6 Mecanico 2014,Renault,2014,90000,1600,27500000
Ssangyong Rexton G4 2.0 Elite 4x4 2006,Ssangyong,2006,180000,2900,35000000
Mazda CX-9 3.7 V6 4x4 Automatica 2011,Mazda,2011,66000,3700,55000000
FORD Focus Titanium Aut 2015,FORD,2015,42300,2000,41900000
Chevrolet Spark 1.0 A.A 2012,Chevrolet,2012,74000,1000,15900000
Renault Fluence Privilege 2.0 Mecanico 2013,Renault,2013,41200,2000,33000000
Chevrolet LUV  1990,Chevrolet,1990,270000,2300,19800000
Mazda 3  2020,Mazda,2020,1000,2000,90000000
Renault Sandero Authentique Aire Acondicionado 2016,Renault,2016,43700,1600,28700000
Volkswagen New Beetle 2.5 Sport 2 Puertas Tiptronic Full Equipo 2016,Volkswagen,2016,32500,2500,51000000
Chevrolet Equinox  2018,Chevrolet,2018,19700,1500,74900000
FORD Fiesta H.B. Se 2016,FORD,2016,17513,1600,36500000
Nissan Pathfinder 3.5 Ancha Aut 2017,Nissan,2017,29800,3500,87990000
Volkswagen GOLF Comfortline 1.4 Tsi Dsg 2017,Volkswagen,2017,74000,1400,47999999
